variant,disk_radius,coverage,detection,connectivity
centralized,18,0.406,0.4,0.89
centralized+relay,18,0.912,1.0,0.974
decentralized,18,0.894,1.0,0.951
decentralized+relay,18,0.91,1.0,0.996
centralized,12,0.259,0.258,0.918
centralized+relay,12,0.894,0.992,0.855
decentralized,12,0.894,1.0,0.934
decentralized+relay,12,0.91,1.0,0.943
centralized,9,0.19,0.2,0.925
centralized+relay,9,0.771,0.792,0.542
decentralized,9,0.891,1.0,0.92
decentralized+relay,9,0.922,1.0,0.808
centralized,6,0.114,0.167,0.924
centralized+relay,6,0.339,0.317,0.334
decentralized,6,0.894,1.0,0.787
decentralized+relay,6,0.908,1.0,0.557
centralized,4,0.091,0.142,0.908
centralized+relay,4,0.206,0.25,0.302
decentralized,4,0.912,1.0,0.474
decentralized+relay,4,0.889,1.0,0.366
